"Time","Total","Free","FS Cache","Used Memory","Pinned"
1638277200000,8192,159.185546875,4273.685546875,3759.12890625,2651.677734375
1638277320000,8192,159.244140625,4273.69140625,3759.064453125,2651.642578125
1638277440000,8192,155.111328125,4273.8125,3763.076171875,2651.90625
1638277560000,8192,159.099609375,4273.826171875,3759.07421875,2651.634765625
1638277680000,8192,158.845703125,4273.84765625,3759.306640625,2651.65234375
1638277800000,8192,159.0859375,4273.859375,3759.0546875,2651.62109375
1638277920000,8192,158.984375,4273.94921875,3759.06640625,2651.6484375
1638278040000,8192,158.81640625,4274.048828125,3759.134765625,2651.712890625
1638278160000,8192,158.8359375,4274.05078125,3759.11328125,2651.66796875
1638278280000,8192,156.685546875,4274.0859375,3761.228515625,2651.728515625
1638278400000,8192,158.728515625,4274.103515625,3759.16796875,2651.724609375
1638278520000,8192,158.49609375,4274.373046875,3759.130859375,2651.68359375
1638278640000,8192,158.25390625,4274.390625,3759.35546875,2651.697265625
1638278760000,8192,157.55859375,4274.4296875,3760.01171875,2651.853515625
1638278880000,8192,157.70703125,4274.435546875,3759.857421875,2651.849609375
1638279000000,8192,158.375,4274.5,3759.125,2651.68359375
1638279120000,8192,158.296875,4274.611328125,3759.091796875,2651.65234375
1638279240000,8192,158.21484375,4274.623046875,3759.162109375,2651.703125
1638279360000,8192,158.46875,4274.63671875,3758.89453125,2651.41015625
1638279480000,8192,158.2578125,4274.650390625,3759.091796875,2651.62109375
1638279600000,8192,155.734375,4274.822265625,3761.443359375,2651.748046875
1638279720000,8192,158.060546875,4274.826171875,3759.11328125,2651.638671875
1638279840000,8192,158.01953125,4274.853515625,3759.126953125,2651.642578125
1638279960000,8192,158.021484375,4274.875,3759.103515625,2651.625
1638280080000,8192,157.86328125,4274.978515625,3759.158203125,2651.685546875
1638280200000,8192,157.794921875,4275.076171875,3759.12890625,2651.654296875
1638280320000,8192,157.775390625,4275.083984375,3759.140625,2651.640625
1638280440000,8192,157.791015625,4275.095703125,3759.11328125,2651.64453125
1638280560000,8192,156.568359375,4275.140625,3760.291015625,2652.04296875
1638280680000,8192,157.6640625,4275.146484375,3759.189453125,2651.71484375
1638280800000,8192,155.4921875,4275.2578125,3761.25,2651.79296875
1638280920000,8192,157.4609375,4275.330078125,3759.208984375,2651.71484375
1638281040000,8192,157.5,4275.3515625,3759.1484375,2651.654296875
1638281160000,8192,157.47265625,4275.345703125,3759.181640625,2651.69140625
1638281280000,8192,157.3828125,4275.515625,3759.1015625,2651.63671875
1638281400000,8192,157.298828125,4275.521484375,3759.1796875,2651.69921875
1638281520000,8192,156.84375,4275.52734375,3759.62890625,2651.7421875
1638281640000,8192,157.275390625,4275.580078125,3759.14453125,2651.669921875
1638281760000,8192,157.1953125,4275.67578125,3759.12890625,2651.640625
1638281880000,8192,157.072265625,4275.775390625,3759.15234375,2651.66796875
1638282000000,8192,157.03125,4275.78515625,3759.18359375,2651.69921875
1638282120000,8192,157.103515625,4275.791015625,3759.10546875,2651.625
1638282240000,8192,157.0625,4275.802734375,3759.134765625,2651.66015625
1638282360000,8192,156.4296875,4275.978515625,3759.591796875,2651.71484375
1638282480000,8192,154.5546875,4275.998046875,3761.447265625,2651.75390625
1638282600000,8192,157,4276.03515625,3758.96484375,2651.48046875
1638282720000,8192,157.041015625,4275.818359375,3759.140625,2651.673828125
1638282840000,8192,156.90234375,4275.91796875,3759.1796875,2651.71484375
1638282960000,8192,156.21484375,4276.03125,3759.75390625,2651.794921875
1638283080000,8192,156.810546875,4276.005859375,3759.18359375,2651.69921875
1638283200000,8192,156.818359375,4276.013671875,3759.16796875,2651.6953125
1638283320000,8192,156.83203125,4276.03515625,3759.1328125,2651.6328125
1638283440000,8192,155.5234375,4276.26171875,3760.21484375,2651.927734375
1638283560000,8192,149.998046875,4276.259765625,3765.7421875,2652.369140625
1638283680000,8192,149.822265625,4276.28515625,3765.892578125,2652.14453125
1638283800000,8192,147.181640625,4276.30078125,3768.517578125,2652.189453125
1638283920000,8192,149.41015625,4276.38671875,3766.203125,2651.865234375
1638284040000,8192,149.27734375,4276.5078125,3766.21484375,2651.873046875
1638284160000,8192,149.271484375,4276.525390625,3766.203125,2651.859375
1638284280000,8192,149.23046875,4276.572265625,3766.197265625,2651.859375
1638284400000,8192,149.515625,4276.59765625,3765.88671875,2651.994140625
1638284520000,8192,151.6328125,4276.84375,3763.5234375,2651.6171875
1638284640000,8192,151.603515625,4276.857421875,3763.5390625,2651.6171875
1638284760000,8192,151.53515625,4276.865234375,3763.599609375,2651.642578125
1638284880000,8192,151.544921875,4276.869140625,3763.5859375,2651.640625
1638285000000,8192,151.435546875,4276.974609375,3763.58984375,2651.640625
1638285120000,8192,147.30078125,4277.078125,3767.62109375,2651.80859375
1638285240000,8192,151.279296875,4277.09765625,3763.623046875,2651.68359375
1638285360000,8192,151.068359375,4277.115234375,3763.81640625,2651.669921875
1638285480000,8192,151.20703125,4277.12890625,3763.6640625,2651.716796875
1638285600000,8192,151.07421875,4277.30078125,3763.625,2651.6953125
1638285720000,8192,151.009765625,4277.310546875,3763.6796875,2651.751953125
1638285840000,8192,180.974609375,4277.47265625,3733.552734375,2651.1484375
1638285960000,8192,170.291015625,4277.64453125,3744.064453125,2651.392578125
1638286080000,8192,168.830078125,4277.681640625,3745.48828125,2651.7578125
1638286200000,8192,167.5703125,4277.66015625,3746.76953125,2651.609375
1638286320000,8192,167.095703125,4277.666015625,3747.23828125,2651.654296875
1638286440000,8192,166.33203125,4277.767578125,3747.900390625,2651.681640625
1638286560000,8192,165.599609375,4277.857421875,3748.54296875,2651.63671875
1638286680000,8192,164.912109375,4277.880859375,3749.20703125,2651.796875
1638286800000,8192,164.291015625,4277.912109375,3749.796875,2651.705078125
1638286920000,8192,162.2421875,4277.916015625,3751.841796875,2651.759765625
1638287040000,8192,161.685546875,4278.08984375,3752.224609375,2651.8046875
1638287160000,8192,161.654296875,4278.091796875,3752.25390625,2651.705078125
1638287280000,8192,161.0390625,4278.107421875,3752.853515625,2651.748046875
1638287400000,8192,160.845703125,4278.111328125,3753.04296875,2651.67578125
